"","BUSINESS_DATE","sales","visits","weekday","NET_COST","FORMAT.15 secondi","FORMAT.20 secondi","FORMAT.30 secondi","NETWORK.Area News-Radio Margherita-Kiss Kiss Italia","NETWORK.CNR Radio FM","NETWORK.R101","NETWORK.Radio 105 Network","NETWORK.Radio Deejay Network","NETWORK.Radio Dimensione Suono Network","NETWORK.Radio Italia Solo Musica Italiana","NETWORK.Radio Kiss Kiss Network","NETWORK.Radio Sportiva","NETWORK.Radiodue","NETWORK.Radiouno","NETWORK.RTL 102.5 Hit Radio","NETWORK.Teamradio University","NETWORK.Virgin Radio","trend"
"172","2015-11-02",1983927.3,279769,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172
"173","2015-11-03",1585567.36,241896,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173
"174","2015-11-04",1671490.73,251587,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174
"175","2015-11-05",1750428.48,260757,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175
"176","2015-11-06",2282095.48,323440,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176
"177","2015-11-07",3311618.08,432003,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177
"178","2015-11-08",2813566.73,351689,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178
"179","2015-11-09",1545947.26,238433,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179
"180","2015-11-10",1634998.32,247453,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
"181","2015-11-11",1730452.16,255967,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181
"182","2015-11-12",1810467.27,265256,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182
"183","2015-11-13",2402018.16,335483,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183
"184","2015-11-14",3349027.62,425733,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184
"185","2015-11-15",3105885.48,370890,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185
"186","2015-11-16",1586585.96,240713,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186
"187","2015-11-17",1649237.49,249380,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187
"188","2015-11-18",1708967.95,252481,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188
"189","2015-11-19",1780950.35,260916,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189
"190","2015-11-20",2307938.35,321542,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190
"191","2015-11-21",3149087.59,402506,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191
"192","2015-11-22",3047236.37,364361,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192
