,BUSINESS_DATE,sales,visits,weekday,15 secondi_R101,15 secondi_Radio 105 Network,15 secondi_Radio Deejay Network,15 secondi_Radio Dimensione Suono Network,15 secondi_Radio Italia Solo Musica Italiana,15 secondi_Radio Kiss Kiss Network,15 secondi_Virgin Radio,20 secondi_Area News-Radio Margherita-Kiss Kiss Italia,20 secondi_CNR Radio FM,20 secondi_R101,20 secondi_Radio 105 Network,20 secondi_Radio Deejay Network,20 secondi_Radio Dimensione Suono Network,20 secondi_Radio Italia Solo Musica Italiana,20 secondi_Radio Kiss Kiss Network,20 secondi_Radio Sportiva,20 secondi_Radiodue,20 secondi_Radiouno,20 secondi_RTL 102.5 Hit Radio,20 secondi_Teamradio University,20 secondi_Virgin Radio,30 secondi_Radio 105 Network,trend
145,10/6/15,1762381.98,264984,Tuesday,0,0,0,0,0,0,0,0,1727.46,0,1223.19,2461.8,1720.27,0,0,0,1104.36,342.23,0,0,612.78,0,145
146,10/7/15,1854500,274448,Wednesday,0,0,0,0,0,0,0,0,1727.46,0,1223.19,2461.8,1720.27,0,0,0,1029.22,342.23,0,0,612.78,0,146
147,10/8/15,1938439.68,283231,Thursday,0,0,0,0,0,0,0,0,1727.46,0,1223.19,2461.8,1720.27,0,0,0,921.25,342.23,0,0,612.78,0,147
148,10/9/15,2539034,354457,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148
149,10/10/15,3408944.91,430196,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149
150,10/11/15,3146691.5,382317,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
151,10/12/15,1777011.45,265483,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151
152,10/13/15,1791708.58,265729,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
153,10/14/15,1854702.31,272229,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153
154,10/15/15,1972279.79,284397,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154
155,10/16/15,2491593.45,345298,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155
156,10/17/15,3522846.85,448196,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156
157,10/18/15,2994293.14,366901,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157
158,10/19/15,1726035.63,258509,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158
159,10/20/15,1740074.39,259420,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159
160,10/21/15,1815304.62,265725,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
161,10/22/15,1875809.89,274388,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161
162,10/23/15,2405678.19,335505,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162
163,10/24/15,3479826.76,446396,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163
164,10/25/15,2948099.19,363873,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164
165,10/26/15,1612062.61,245064,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165
